DATA,Fundo,CDI
2014-01-02,0.9976139395515665,1.00036998
2014-01-03,0.9978688808903294,1.0007400968852007
2014-01-06,0.9968595089551937,1.0011103507062464
2014-01-07,0.9965230829832927,1.0014807415138007
2014-01-08,0.9969136868240082,1.0018512693585462
2014-01-09,0.9951561414717917,1.0022219342911836
2014-01-10,0.996361960280886,1.0025927363624327
2014-01-13,0.9945090301652926,1.0029636756230322
2014-01-14,0.9960876951344612,1.0033347521237395
2014-01-15,0.9973629873656109,1.0037059659153302
2014-01-16,0.9970992737525184,1.0040954239042246
2014-01-17,0.9960878038005253,1.0044875633310761
2014-01-20,0.9943258603538158,1.0048802175195821
2014-01-21,0.9930376190520668,1.0052730251966104
2014-01-22,0.9941876716132089,1.005663091235847
2014-01-23,0.9931648105740725,1.0060533086285084
2014-01-24,0.9943334605970782,1.0064436774333223
2014-01-27,0.9934002290114289,1.0068341977090398
2014-01-28,0.9937130210387711,1.0072248695144348
2014-01-29,0.992329436264676,1.0076156929083038
2014-01-30,0.9909693711558747,1.008006667949466
2014-01-31,0.9904106179887082,1.0083977946967635
2014-02-03,0.9885395630598994,1.0087890732090616
2014-02-04,0.9911411006096543,1.0091812298733809
2014-02-05,0.9927757942756923,1.0095735389846818
2014-02-06,0.9933692304648423,1.0099660006022266
2014-02-07,0.9942120319390051,1.0103586147853008
2014-02-10,0.9950592207390894,1.0107513815932123
2014-02-11,0.995480045247283,1.011144301085293
2014-02-12,0.9958348892286272,1.0115373733208968
2014-02-13,0.9961662419383395,1.0119305983594016
2014-02-14,0.996635101192645,1.0123239762602079
2014-02-17,0.9970851497898771,1.0127175070827392
2014-02-18,0.9975883287024347,1.0131111908864425
2014-02-19,0.9981242923434519,1.0135050277307878
2014-02-20,0.9984905035998123,1.0138990176752678
2014-02-21,0.999036344333504,1.0142931607793988
2014-02-24,0.9995074628825835,1.0146874571027202
2014-02-25,0.9999002226830651,1.0150819067047943
2014-02-26,1.0002956360399895,1.0154787022221252
2014-02-27,1.0007271122682349,1.015884406273237
2014-02-28,1.0012024686095857,1.0162902724112313
2014-03-05,1.001441900128149,1.0166948474057755
2014-03-06,1.0018592306836818,1.0170995834575793
2014-03-07,1.0022416593729082,1.017504480630758
2014-03-10,1.002526602678338,1.0179095389894524
2014-03-11,1.0028604399534564,1.0183147585978287
2014-03-12,1.0032836309086206,1.018720139520079
2014-03-13,1.0037913822700621,1.0191256818204204
2014-03-14,1.004233386818733,1.0195313855630963
2014-03-17,1.0046184634572866,1.0199372508123752
2014-03-18,1.0050247834481276,1.0203432776325512
2014-03-19,1.005388475296077,1.020750925178831
2014-03-20,1.0057211716356549,1.0211587355884584
2014-03-21,1.0061383564136168,1.0215667089265006
2014-03-24,1.0066115614937652,1.0219748452580508
2014-03-25,1.0063572885489882,1.0223831446482283
2014-03-26,1.0060989662162776,1.022791607162178
2014-03-27,1.0056192599794858,1.0231987702730734
2014-03-28,1.0057648259887324,1.0236060954715314
2014-03-31,1.0062353516816562,1.0240135828220776
2014-04-01,1.0065275247207528,1.0244212323892632
2014-04-02,1.0079232355484047,1.024829044237665
2014-04-03,1.0093991604576786,1.025246200900122
2014-04-04,1.00693536515868,1.0256635273661983
2014-04-07,1.0062795202237689,1.0260810237050126
2014-04-08,1.005036936891102,1.0264986899857118
2014-04-09,1.0052364741123745,1.0269165262774704
2014-04-10,1.0042883027176228,1.0273345326494916
2014-04-11,1.0042649137113517,1.0277527091710066
2014-04-14,1.0046743456117495,1.0281710559112747
2014-04-15,1.005079205570446,1.0285895729395833
2014-04-16,1.0055233685290539,1.0290082603252484
2014-04-17,1.0059470611510524,1.0294271181376138
2014-04-22,1.0063561414599775,1.0298461464460518
2014-04-23,1.0067523120866608,1.0302653453199626
2014-04-24,1.0072172706287048,1.030684714828775
2014-04-25,1.0076383123506318,1.031104255041946
2014-04-28,1.0080594348942225,1.0315239660289608
2014-04-29,1.0084894669338789,1.0319438478593328
2014-04-30,1.0089124251950479,1.032363900602604
2014-05-02,1.0093425101645397,1.0327841243283442
2014-05-05,1.0097824766930366,1.033204519106152
2014-05-06,1.010183306627359,1.033625085005654
2014-05-07,1.0105878462213302,1.0340458220965056
2014-05-08,1.010998045599767,1.0344667304483899
2014-05-09,1.0114157174779146,1.0348878101310188
2014-05-12,1.0118050920576962,1.0353090612141327
2014-05-13,1.012219737147859,1.0357304837674999
2014-05-14,1.012635244804875,1.0361520778609175
2014-05-15,1.0130673582924845,1.0365738435642107
2014-05-16,1.0135682758085611,1.0369957809472334
2014-05-19,1.0139762642659087,1.037417890079868
2014-05-20,1.0144290814505368,1.037840171032025
2014-05-21,1.0148458957355722,1.0382626238736437
2014-05-22,1.0152899412046676,1.0386852486746914
2014-05-23,1.0157267822652436,1.0391080455051644
2014-05-26,1.0161451257164968,1.0395310144350873
2014-05-27,1.016573997793759,1.039954155534513
2014-05-28,1.0170014792413387,1.0403774688735234
2014-05-29,1.0174318108497478,1.0408009545222283
2014-05-30,1.0180843414354406,1.0412246125507665
2014-06-02,1.018506428116537,1.0416484430293051
2014-06-03,1.0189700833116433,1.0420724460280402
2014-06-04,1.0193802429391405,1.0424966216171958
2014-06-05,1.0198179120983344,1.042920969867025
2014-06-06,1.0203277335202738,1.0433454908478093
2014-06-09,1.0208090958493952,1.0437716870473657
2014-06-10,1.021233515135996,1.0441965543125782
2014-06-11,1.0216298448946768,1.044621594520011
2014-06-12,1.0220687240021025,1.0450468077400603
2014-06-13,1.0224977452191204,1.0454721940431508
2014-06-16,1.0222932405855454,1.045897753499736
2014-06-17,1.0209368970916957,1.0463234861802981
2014-06-18,1.0253717350665834,1.0467493921553477
2014-06-20,1.0228284361657871,1.0471754714954244
2014-06-23,1.0216494526619104,1.0476017242710967
2014-06-24,1.0243563158249929,1.0480281505529612
2014-06-25,1.0203936550871417,1.0484547504116437
2014-06-26,1.02048478937045,1.0488815239177987
2014-06-27,1.0187271894531615,1.0493084711421095
2014-06-30,1.0187747856784461,1.0497355921552878
2014-07-01,1.018578950304237,1.0501628870280746
2014-07-02,1.0156170639745135,1.0505903558312393
2014-07-03,1.0199359586915389,1.0510179986355803
2014-07-04,1.021114030401258,1.0514458155119248
2014-07-07,1.0212092150060257,1.0518738065311288
2014-07-08,1.0195068952154374,1.0523019717640774
2014-07-09,1.0197280770349055,1.052730311281684
2014-07-10,1.0229999976696589,1.0531588251548911
2014-07-11,1.0239779094032118,1.0535875134546704
