DATA,Fundo,CDI,IPCA,IPCA+6%
2014-01-08,0.9969136868240082,1.0018512693585462,1.0010548732561353,1.002212891235451
2014-01-09,0.9951561414717917,1.0022219342911836,1.0012659814007283,1.0026560567626397
2014-01-10,0.996361960280886,1.0025927363624327,1.0014771340650075,1.00309941825187
2014-01-13,0.9945090301652926,1.0029636756230322,1.0016883312583613,1.003542975789794
2014-01-14,0.9960876951344612,1.0033347521237395,1.0018995729901803,1.0039867294631017
2014-01-15,0.9973629873656109,1.0037059659153302,1.002110859269857,1.004430679358522
2014-01-16,0.9970992737525184,1.0040954239042246,1.002322190106786,1.0048748255628215
2014-01-17,0.9960878038005253,1.0044875633310761,1.0025335655103638,1.0053191681628055
2014-01-20,0.9943258603538158,1.0048802175195821,1.0027449854899886,1.0057637072453176
2014-01-21,0.9930376190520668,1.0052730251966104,1.0029564500550612,1.0062084428972398
2014-01-22,0.9941876716132089,1.005663091235847,1.0031679592149838,1.0066533752054925
2014-01-23,0.9931648105740725,1.0060533086285084,1.003379512979161,1.0070985042570346
2014-01-24,0.9943334605970782,1.0064436774333223,1.0035911113569989,1.0075438301388637
2014-01-27,0.9934002290114289,1.0068341977090398,1.003802754357906,1.0079893529380153
2014-01-28,0.9937130210387711,1.0072248695144348,1.0040144419912929,1.0084350727415636
2014-01-29,0.992329436264676,1.0076156929083038,1.0042261742665717,1.0088809896366218
2014-01-30,0.9909693711558747,1.008006667949466,1.0044379511931567,1.0093271037103408
2014-01-31,0.9904106179887082,1.0083977946967635,1.0046497727804644,1.0097734150499107
2014-02-03,0.9885395630598994,1.0087890732090616,1.004903967921381,1.010262478338902
2014-02-04,0.9911411006096543,1.0091812298733809,1.0051582273784119,1.0107517784957858
2014-02-05,0.9927757942756923,1.0095735389846818,1.0054125511678302,1.011241315635284
2014-02-06,0.9933692304648423,1.0099660006022266,1.0056669393059134,1.0117310898721745
2014-02-07,0.9942120319390051,1.0103586147853008,1.005921391808943,1.0122211013212907
