Data,Fundo,CDI,IPCA,IPCA+6%,IBOV
2022-09-29,1.110732674624979,1.1807769813951756,1.1404030422819427,1.3554146709347914,1.0783534627539832
2022-09-30,1.114827828501026,1.1813766744084866,1.140218561680845,1.3555088007631944,1.1021212288328508
2022-10-03,1.1195975188333473,1.1819766719938851,1.140473151926105,1.3561249963090933,1.1631882620325371
2022-10-04,1.120616359216892,1.1825769743060575,1.1407277990167763,1.3567414719689619,1.1641497898637934
2022-10-05,1.118268472026661,1.183177581499768,1.1409825029655514,1.3573582278701357,1.1738451954956282
2022-10-06,1.1207953311262067,1.18377849372986,1.1412372637851256,1.3579752641400087,1.1774809726075661
2022-10-07,1.1179118793737042,1.1843797111512557,1.1414920814881973,1.3585925809060326,1.1656020975255867
2022-10-10,1.1198269319364742,1.1849812339189552,1.1417469560874673,1.359210178295717,1.1612551904551154
2022-10-11,1.1167538748759727,1.1855830621880379,1.1420018875956397,1.3598280564366299,1.1500974612465784
2022-10-13,1.1163230942214406,1.186185196113662,1.142256876025421,1.3604462154563965,1.1448190740895774
2022-10-14,1.1166700964307865,1.1867876358510643,1.142511921389521,1.3610646554827006,1.1225036156725032
2022-10-17,1.119184714467616,1.1873903815555604,1.142767023700652,1.3616833766432839,1.1380483156111474
2022-10-18,1.120609151516861,1.1879934333825448,1.1430221829715292,1.362302379065946,1.1592720393031493
2022-10-19,1.1204338643428136,1.188596791487491,1.1432773992148708,1.362921662878545,1.1645904901197859
2022-10-20,1.119682516812176,1.1892004560259517,1.1435326724433976,1.3635412282089967,1.1735747657930873
2022-10-21,1.119118514042395,1.1898044271535582,1.1437880026698335,1.3641610751852753,1.201198659111889
2022-10-24,1.1201302024435589,1.190408705026021,1.1440433899069051,1.364781203935413,1.1619763363285576
2022-10-25,1.1186254240365174,1.1910132897991297,1.1442988341673417,1.3654016145875005,1.1480842623498853
2022-10-26,1.117294000582884,1.191618181628753,1.1445543354638756,1.3660223072696864,1.1294346287894759
2022-10-27,1.118896765459926,1.1922233806708387,1.1448098938092421,1.3666432821101777,1.148234501073519
2022-10-28,1.1219236494440656,1.1928288870814139,1.1450655092161792,1.3672645392372396,1.1472128777528092
2022-10-31,1.1234522935138762,1.1934347010165849,1.1453211816974276,1.3678860787791955,1.1622167182863716
2022-11-01,1.1266211603614136,1.1940408226325372,1.145510113827026,1.3684281045437041,1.1711509143851284
2022-11-03,1.1241252236110706,1.1946472520855358,1.14569907712286,1.3689703450862807,1.170820389193134
2022-11-04,1.1258744297215557,1.195253989531925,1.1458880715900703,1.3695128004920314,1.1834304260634645
2022-11-07,1.1208119721312229,1.1958610351281285,1.1460770972337995,1.3700554708460957,1.155255657424672
2022-11-08,1.1206262511607068,1.1964683890306493,1.14626615405919,1.3705983562336472,1.1634486758201688
2022-11-09,1.1191894384711212,1.1970760513960703,1.146455242071386,1.371141456739893,1.1376076153551546
2022-11-10,1.1077643498563263,1.1976840223810534,1.1466443612755317,1.371684772450074,1.0994970591267135
2022-11-11,1.099135993854587,1.1982923021423404,1.1468335116767727,1.3722283034494651,1.1243164962710175
2022-11-14,1.1057022865872705,1.1989008908367524,1.1470226932802552,1.3727720498233746,1.133410947008317
2022-11-16,1.0997205233439513,1.1995097886211907,1.1472119060911263,1.3733160116571448,1.104184507304088
2022-11-17,1.0964580318631862,1.2001189956526357,1.147401150114534,1.3738601890361517,1.098775913253271
2022-11-18,1.085412128538833,1.2007285120881477,1.1475904253556273,1.3744045820458055,1.0905328152832297
2022-11-21,1.0972642960522,1.201338338084867,1.1477797318195555,1.3749491907715499,1.0992266294241724
2022-11-22,1.0947735448832823,1.2019484738000135,1.1479690695114693,1.3754940152988624,1.09210531392393
2022-11-23,1.087680474598736,1.202558919390887,1.14815843843652,1.3760390557132547,1.0885596800461723
2022-11-24,1.096379961571607,1.2031696750148673,1.14834783859986,1.376584312100272,1.120089780179453
2022-11-25,1.092833989368621,1.2037807408294139,1.1485372700066423,1.377129784545494,1.0915043590293947
2022-11-28,1.0961848732170796,1.2043921169920664,1.1487267326620207,1.3776754731345333,1.0895512556221552
2022-11-29,1.1048905318835232,1.2050038036604442,1.1489162265711501,1.3782213779530375,1.1108651225483372
2022-11-30,1.109666807096622,1.2056158009922473,1.149105751739186,1.3787674990866874,1.1266502044447955
2022-12-01,1.107477193083884,1.2062281091452554,1.149372787574642,1.3794068226556344,1.1110253771868799
2022-12-02,1.113540991337491,1.2068407282773281,1.1496398854654286,1.3800464426738568,1.1210212602659821
2022-12-05,1.1081451483477143,1.2074536585464057,1.1499070454259666,1.3806863592788154,1.0957511069507766
2022-12-06,1.1059542213828317,1.2080669001105082,1.15017426747068,1.3813265726080355,1.097073207718754
2022-12-07,1.1087486593587024,1.2086804531277364,1.1504415516139967,1.3819670827991055,1.0953504703544197
2022-12-08,1.109404546119665,1.209294317756271,1.1507088978703472,1.382607889989678,1.0741567944071446
2022-12-09,1.1080344840190963,1.209908494154373,1.1509763062541658,1.3832489943174695,1.0786038606267052
2022-12-12,1.101721895088221,1.210522982480384,1.1512437767798902,1.38389039592026,1.0543152669725737
2022-12-13,1.1002494479766414,1.2111377828927261,1.1515113094619611,1.3845320949358935,1.0405734317175352
2022-12-14,1.0978292773776945,1.2117528955499017,1.1517789043148228,1.3851740915022779,1.0396820152906414
2022-12-15,1.1010995645646038,1.2123683206104936,1.1520465613529227,1.3858163857573853,1.0390309808215616
2022-12-16,1.0974159114382114,1.2129840582331652,1.152314280590712,1.3864589778392515,1.0298864505097176
2022-12-19,1.098097436295384,1.2136001085766608,1.152582062042645,1.3871018678859766,1.0469635854294266
2022-12-20,1.1047365449951512,1.2142164717998047,1.1528499057231794,1.3877450560357243,1.0714925610413721
2022-12-21,1.106058100837448,1.2148331480615024,1.1531178116467762,1.3883885424267228,1.0748378766209516
2022-12-22,1.109541594357094,1.21545013752074,1.1533857798278997,1.3890323271972642,1.0748779402805873
2022-12-23,1.1135268229176671,1.216067440336584,1.1536538102810179,1.3896764104857047,1.0987258336787262
2022-12-26,1.1132548732108634,1.2166850566681822,1.1539219030206016,1.3903207924304646,1.0891105553661629
2022-12-27,1.11287613212204,1.2173029866747629,1.1541900580611255,1.3909654731700285,1.085194332636775
2022-12-28,1.120165240833723,1.2179212305156353,1.1544582754170676,1.3916104528429452,1.104124411814634
2022-12-29,1.1205740224361453,1.2185397883501896,1.154726555102909,1.3922557315878277,1.1020611333433965
2023-01-02,1.122468420334102,1.2197778466383093,1.1552311777201822,1.3935084372109159,1.065452964351293
2023-01-03,1.116083688571436,1.22039734741106,1.1554675066438214,1.3941158295088598,1.0433177924025796
2023-01-04,1.1137124212723097,1.2210171628158633,1.1557038839139397,1.3947234865525302,1.0550163810161983
2023-01-05,1.1198445208485972,1.2216372930125141,1.1559403095404277,1.3953314084573225,1.07689113917728
2023-01-06,1.1221653015357567,1.2222577381608892,1.1561767835331778,1.3959395953386826,1.0900921150272367
2023-01-09,1.122749600417861,1.2228784984209464,1.1564133059020842,1.3965480473121064,1.0940083377566245
2023-01-10,1.1294066565524636,1.2234995739527246,1.1566498766570437,1.3971567644931402,1.110885154378155
2023-01-11,1.1323932691049516,1.2241209649163438,1.1568864958079543,1.397765746997381,1.1194086979656461
2023-01-12,1.1361798646040187,1.2247426714720056,1.157123163364717,1.3983749949404758,1.120550512265263
2023-01-13,1.138026389431834,1.2253646937799927,1.157359879337234,1.3989845084381223,1.1109252180377907
2023-01-16,1.133182996363179,1.2259870320006696,1.15759664373541,1.3995942876060683,1.0938681149478997
2023-01-17,1.1349773925665212,1.2266096862944822,1.1578334565691513,1.4002043325601123,1.116163541535156
2023-01-18,1.1338043693419837,1.2272326568219574,1.1580703178483667,1.4008146434161033,1.1263096633378922
2023-01-19,1.1310150834707977,1.2278559437437042,1.158307227582967,1.4014252202899404,1.131858480197434
2023-01-20,1.1294084772998076,1.2284795472204129,1.1585441857828644,1.402036063297574,1.1247972601866454
2023-01-23,1.1271051638058471,1.2291034674128551,1.158781192457974,1.402647172555004,1.1188678385605646
2023-01-24,1.1290057678279064,1.2297277044818848,1.1590182476182125,1.4032585481782818,1.1320788303254303
2023-01-25,1.1323240355600916,1.2303522585884372,1.1592553512734984,1.403870190283509,1.14376740302414
2023-01-26,1.132681180305433,1.230977129893529,1.1594925034337527,1.4044820989868376,1.1429060343419728
2023-01-27,1.129139620193678,1.2316023185582594,1.159729704108898,1.4050942744044705,1.126810459083338
2023-01-30,1.1288472279934694,1.2322278247438088,1.1599669533088595,1.4057067166526613,1.120660687329261
2023-01-31,1.13201892687166,1.2328536486114396,1.1602042510435635,1.4063194258477143,1.1371268514395259
2023-02-01,1.1316332644429008,1.2334797903224965,1.1605460718545701,1.4070590681993795,1.124817292016463
2023-02-02,1.1317296612684802,1.2341062500384055,1.1608879933732468,1.40779909955997,1.1010996055121398
2023-02-03,1.1261150347259885,1.234733027920675,1.161230015629264,1.4085395201340818,1.0866266084687501
2023-02-06,1.124992586460369,1.2353601241308954,1.1615721386523015,1.4092803301264185,1.0862860673618469
2023-02-07,1.130233298646094,1.2359875388307389,1.161914362472047,1.4100215297417917,1.0809175369706656
2023-02-08,1.1308383240836974,1.2366152721819603,1.1622566871181972,1.4107631191851204,1.100568762021967
2023-02-09,1.131424293204821,1.237243324346396,1.162599112620458,1.4115050986614315,1.0795453566281437
2023-02-10,1.1318158731352324,1.2378716954859652,1.1629416390085436,1.4122474683758597,1.0832211973997175
2023-02-13,1.1319580728510652,1.2385003857626686,1.1632842663121774,1.4129902285336475,1.090192274176326
2023-02-14,1.1325070830507213,1.2391293953385898,1.1636269945610909,1.4137333793401456,1.0783033831794377
2023-02-15,1.1395645528300429,1.2397587243758943,1.163969823785025,1.4144769210008123,1.0961617594620423
2023-02-16,1.1401168016489454,1.2403883730368304,1.1643127540137288,1.4152208537212145,1.1007991280648723
2023-02-17,1.1427175304673571,1.2410183414837284,1.1646557852769606,1.4159651777070266,1.0947695472897023
2023-02-22,1.1410862291620634,1.241648629879001,1.1649989176044873,1.4167098931640316,1.073225314320615
2023-02-23,1.1430770107247432,1.242279238385144,1.1653421510260846,1.4174550002981208,1.0789143539888817
2023-02-24,1.1389628910670224,1.2429101671647351,1.165685485571537,1.4182004993152932,1.0604149591521062
2023-02-27,1.143040169143161,1.2435414163804348,1.1660289212706378,1.418946390421657,1.0587923809368611
2023-02-28,1.1421308601306777,1.2441729861949862,1.166372458153189,1.4196926738234281,1.0509899832228122
2023-03-01,1.140766856630515,1.244804876771215,1.1666742737352862,1.4203884321606302,1.045511277767633
2023-03-02,1.1393488782448373,1.2454370882720296,1.166976167416489,1.4210845314728,1.0349044238790865
2023-03-03,1.139025344902778,1.2460696208604212,1.1672781392170064,1.4217809719270416,1.0403130179299034
2023-03-06,1.1422495586319033,1.2467024746994637,1.1675801891570532,1.4224777536905406,1.0486662909639428
2023-03-07,1.1437152188045514,1.247335649952314,1.1678823172568489,1.423174876930565,1.0439387791269326
2023-03-08,1.1470863457235874,1.2479691467822118,1.1681845235366184,1.423872341814464,1.0670955743963562
2023-03-09,1.1518990653829673,1.2486029653524795,1.168486808016592,1.42457014850967,1.0523821953951524
2023-03-10,1.1523162351708407,1.2492371058265228,1.168789170717005,1.4252682971836963,1.0378290710324913
2023-03-13,1.1565876561939639,1.24987156836783,1.1690916116580983,1.425966788004139,1.032851161322758
2023-03-14,1.1525473882627995,1.2505063531399727,1.1693941308601175,1.4266656211386757,1.030958153404972
2023-03-15,1.1566899246031177,1.2511414603066056,1.169696728343314,1.427364796755067,1.0283840632733796
2023-03-16,1.1569878145440238,1.251776890031466,1.169999404127944,1.428064315021155,1.035996158604159
2023-03-17,1.159538566185151,1.2524126424783752,1.1703021582342692,1.4287641761048644,1.021443034241498
2023-03-20,1.1613553423817522,1.2530487178112373,1.1706049906825564,1.4294643801742024,1.0108361803529515
2023-03-21,1.1592268410138231,1.2536851161940392,1.1709079014930777,1.430164927397258,1.0115873739711205
2023-03-22,1.1623051057649745,1.2543218377908518,1.1712108906861105,1.4308658179422031,1.0038050080868897
2023-03-23,1.1615680580139711,1.2549588827658291,1.1715139582819374,1.4315670519772914,0.9808184833709178
2023-03-24,1.1653457197898058,1.2555962512832082,1.1718171043008463,1.4322686296708598,0.9898628545336726
2023-03-27,1.1677869728649346,1.25623394350731,1.17212032876313,1.4329705511913269,0.9982862389720744
2023-03-28,1.167736819186627,1.2568719596025386,1.1724236316890873,1.4336728167071946,1.0134603500590886
2023-03-29,1.1662006954035804,1.2575102997333816,1.1727270130990215,1.434375426387047,1.019550026323712
2023-03-30,1.1699303965592343,1.2581489640644101,1.1730304730132415,1.4350783803995508,1.0387805829488388
2023-03-31,1.1711767562434594,1.2587879527602792,1.1733340114520614,1.4357816789134554,1.0204414427506059
2023-04-03,1.1712298534417673,1.259427265985727,1.1736031380726863,1.4364431072783277,1.0166754587448519
2023-04-04,1.17309453077858,1.2600669039055759,1.1738723264226547,1.437104840346546,1.02031123585679
2023-04-05,1.174767651824406,1.2607068666847314,1.1741415765161252,1.4377668782584796,1.0113870556729423
2023-04-06,1.1731053401907825,1.2613471544881834,1.1744108883672597,1.4384292211545622,1.0098245729471507
2023-04-10,1.1737255079980418,1.261987767481005,1.1746802619902235,1.4390918691752923,1.0200908857287938
2023-04-11,1.1779590886533275,1.2626287058283532,1.1749496973991853,1.4397548224612333,1.0638303861360483
2023-04-12,1.1794569500703311,1.2632699696954692,1.1752191946083168,1.440418081153013,1.0706011446144785
2023-04-13,1.1827215700136775,1.2639115592476782,1.1754887536317933,1.4410816453913242,1.066274269373825
2023-04-14,1.1821639210342207,1.2645534746503888,1.1757583744837927,1.4417455153169245,1.0644814206051283
2023-04-17,1.1829474263733466,1.2651957160690943,1.176028057178497,1.4424096910706363,1.0618472349840822
2023-04-18,1.1819608997070898,1.2658382836693716,1.1762978017300905,1.443074172793347,1.0633195744756934
2023-04-19,1.178416284502266,1.2664811776168816,1.1765676081527616,1.4437389606260085,1.040783765930623
2023-04-20,1.1814096785736479,1.2671243980773697,1.1768374764607017,1.4444040547096382,1.0453309912992728
2023-04-24,1.1828172368130518,1.2677679452166652,1.177107406668105,1.445069455185318,1.0411243070375262
2023-04-25,1.1861548484973838,1.268411819200682,1.1773773987891698,1.4457351621941952,1.0338427368987413
2023-04-26,1.186157490725663,1.2690560201954175,1.177647452838097,1.4464011758774817,1.0247482861614416
2023-04-27,1.1884669582134328,1.2697005483669543,1.1779175688290906,1.4470674963764547,1.0308680101707919
2023-04-28,1.187739962356546,1.270345403881459,1.1781877467763586,1.4477341238324564,1.0459820257683525
2023-05-02,1.188253237210461,1.2709905869051823,1.1783044647222245,1.4482123699575418,1.0208921589215074
2023-05-03,1.1902807588389954,1.2716360976044596,1.1784211942308305,1.448690774066992,1.0195900899833479
