DATA,CDI,Cota do Fundo,IPCA,IPCA+6%,IBOV
2014-01-02,1.00036998,0.9976139395515664,1.0002108856869218,1.0004421870154176,1.0127132953258775
2014-01-03,1.0007400968852007,0.9978688808903294,1.0004218158466167,1.000884569560192,1.025588218529798
2014-01-06,1.0011103507062464,0.9968595089551936,1.000632790488463,1.0013271477207835,1.025447399057255
2014-01-07,1.0014807415138007,0.9965230829832928,1.0008438096218417,1.0017699215836908,1.0145037143339226
2014-01-08,1.0018512693585462,0.9969136868240082,1.0010548732561353,1.002212891235451,1.017460923257323
2014-01-09,1.0022219342911836,0.9951561414717917,1.0012659814007283,1.0026560567626397,0.9922140035371352
2014-01-10,1.0025927363624327,0.996361960280886,1.0014771340650075,1.00309941825187,0.9997377867844262
2014-01-13,1.0029636756230322,0.9945090301652926,1.0016883312583613,1.003542975789794,0.9943262956252783
2014-01-14,1.0033347521237395,0.9960876951344612,1.0018995729901803,1.0039867294631017,0.999878606256969
2014-01-15,1.0037059659153302,0.9973629873656108,1.002110859269857,1.004430679358522,1.0079656673944317
2014-01-16,1.0040954239042246,0.9970992737525184,1.002322190106786,1.0048748255628215,0.9997377867844263
2014-01-17,1.0044875633310761,0.9960878038005252,1.0025335655103638,1.0053191681628055,0.9893976140862777
2014-01-20,1.0048802175195821,0.9943258603538158,1.0027449854899886,1.0057637072453176,0.979862124088374
2014-01-21,1.0052730251966104,0.9930376190520668,1.0029564500550612,1.0062084428972398,0.9765226908823571
2014-01-22,1.005663091235847,0.9941876716132088,1.0031679592149838,1.0066533752054925,0.9917714280520004
2014-01-23,1.0060533086285084,0.9931648105740724,1.003379512979161,1.0070985042570346,0.9720768189635032
2014-01-24,1.0064436774333223,0.9943334605970782,1.0035911113569989,1.0075438301388637,0.9613343049152321
2014-01-27,1.0068341977090398,0.9934002290114288,1.003802754357906,1.0079893529380153,0.9596042371097052
2014-01-28,1.0072248695144348,0.9937130210387712,1.0040144419912929,1.0084350727415636,0.9624206265605627
2014-01-29,1.0076156929083038,0.992329436264676,1.0042261742665717,1.0088809896366218,0.956707379388823
2014-01-30,1.008006667949466,0.9909693711558748,1.0044379511931567,1.0093271037103408,0.9504107372594057
2014-01-31,1.0083977946967635,0.9904106179887082,1.0046497727804644,1.0097734150499107,0.9583569789243254
2014-02-03,1.0087890732090616,0.9885395630598994,1.004903967921381,1.010262478338902,0.9283624312726919
2014-02-04,1.0091812298733809,0.9911411006096544,1.0051582273784119,1.0107517784957858,0.9447779583576906
2014-02-05,1.0095735389846818,0.9927757942756924,1.0054125511678302,1.011241315635284,0.9379381554056079
2014-02-06,1.0099660006022266,0.9933692304648424,1.0056669393059134,1.0117310898721745,0.9603485686074319
2014-02-07,1.0103586147853008,0.9942120319390052,1.005921391808943,1.0122211013212907,0.9671079032894901
2014-02-10,1.0107513815932123,0.9950592207390894,1.006175908693204,1.0127113500975216,0.9598054077847664
2014-02-11,1.011144301085293,0.995480045247283,1.0064304899749867,1.0132018363158115,0.974933442549373
2014-02-12,1.0115373733208968,0.9958348892286272,1.0066851356705846,1.0136925600911608,0.969984643942866
2014-02-13,1.0119305983594016,0.9961662419383396,1.0069398457962955,1.0141835215386255,0.9618573486703912
2014-02-14,1.0123239762602079,0.996635101192645,1.0071946203684214,1.014674720773317,0.9696627708627679
2014-02-17,1.0127175070827392,0.9970851497898772,1.0074494594032688,1.0151661579104032,0.9570896036714392
2014-02-18,1.0131111908864425,0.9975883287024347,1.0077043629171476,1.015657833065107,0.9374553457854604
2014-02-19,1.0135050277307878,0.998124292343452,1.0079593309263724,1.0161497463527072,0.9485398499813358
2014-02-20,1.0138990176752678,0.9984905035998124,1.0082143634472616,1.016641897888539,0.9513160052971811
2014-02-21,1.0142931607793988,0.999036344333504,1.008469460496138,1.017134287787993,0.9531466584402384
2014-02-24,1.0146874571027202,0.9995074628825836,1.0087246220893282,1.0176269161665157,0.953408180317818
2014-02-25,1.0150819067047943,0.9999002226830652,1.0089798482431633,1.0181197831396096,0.9397889256161709
2014-02-26,1.0154787022221252,1.0002956360399895,1.0092351389739782,1.0186128888228334,0.9374352287179543
2014-02-27,1.015884406273237,1.0007271122682349,1.0094904942981122,1.0191062333318013,0.9577132327641289
2014-02-28,1.0162902724112313,1.0012024686095855,1.0097459142319085,1.0195998167821836,0.9473931771334864
2014-03-05,1.0166948474057755,1.001441900128149,1.0100644950950397,1.0201573660704437,0.9372340580428928
2014-03-06,1.0170995834575793,1.0018592306836818,1.0103831764723348,1.0207152202442125,0.9473730600659802
2014-03-07,1.017504480630758,1.0022416593729082,1.0107019583955066,1.021273379470211,0.9302936697532794
2014-03-10,1.0179095389894524,1.002526602678338,1.011020840896278,1.0218318439152514,0.915990434756424
2014-03-11,1.0183147585978287,1.0028604399534564,1.0113398240063818,1.022390613746237,0.9193097508949349
2014-03-12,1.018720139520079,1.0032836309086206,1.0116589077575608,1.0229496891301626,0.9226089499659396
2014-03-13,1.0191256818204204,1.003791382270062,1.011978092181568,1.023509070234114,0.9142000157483791
2014-03-14,1.0195313855630963,1.004233386818733,1.0122973773101662,1.0240687572252687,0.9045840574804509
2014-03-17,1.0199372508123752,1.0046184634572866,1.0126167631751282,1.0246287502708953,0.9076418517413819
2014-03-18,1.0203432776325512,1.0050247834481276,1.012936249808237,1.0251890495383542,0.9284026654077036
2014-03-19,1.020750925178831,1.005388475296077,1.0132558372412857,1.025749655195097,0.936791482557758
2014-03-20,1.0211587355884584,1.0057211716356549,1.013575525506077,1.0263105674086672,0.9510947175546135
